year,soc_name,soc,cip_name,cip,avg_wage,avg_wage_moe,num_ppl,num_ppl_moe,num_ppl_rca
2015,"Military, rank not specified","559830","Computer and Information Sciences and Support Services","11",58963.4,8347.81,2834,1218.5,1.26725
2015,"Miscellaneous mathematical science occupations, including mathematicians & statisticians","1520XX","Computer and Information Sciences and Support Services","11",126589.0,31687.4,2798,1041.21,1.59497
2015,"Paralegals & legal assistants","232011","Computer and Information Sciences and Support Services","11",59192.2,6623.83,2665,1254.26,0.407763
2015,"Miscellaneous production workers, including semiconductor processors","5191XX","Computer and Information Sciences and Support Services","11",74099.6,38648.8,2642,1331.13,0.913792
2015,"Receptionists & information clerks","434171","Computer and Information Sciences and Support Services","11",38921.5,7230.57,2586,1044.54,0.410419
2015,"Firstline supervisors of mechanics, installers, & repairers","491011","Computer and Information Sciences and Support Services","11",88150.2,30806.3,2503,1088.28,1.78168
2015,"Compliance officers","131041","Computer and Information Sciences and Support Services","11",74172.5,19059.5,2486,973.436,0.476129
2015,"Aircraft pilots & flight engineers","532010","Computer and Information Sciences and Support Services","11",129224.0,25682.4,2482,1162.68,0.60066
2015,"Construction laborers","472061","Computer and Information Sciences and Support Services","11",28182.5,12841.1,2468,1114.79,0.975839
2015,"Purchasing agents, except wholesale, retail, & farm products","131023","Computer and Information Sciences and Support Services","11",72136.0,12870.7,2424,999.766,0.522743
2015,"Securities, commodities, & financial services sales agents","413031","Computer and Information Sciences and Support Services","11",217228.0,91977.2,2340,732.082,0.406363
2015,"Training & development specialists","131151","Computer and Information Sciences and Support Services","11",84011.1,11964.1,2275,936.384,0.768973
2015,"Taxi drivers & chauffeurs","533041","Computer and Information Sciences and Support Services","11",30302.1,8108.55,2261,1082.75,1.10337
2015,"Social & community service managers","119151","Computer and Information Sciences and Support Services","11",68179.8,12777.1,2199,1223.68,0.236511
2015,"Pharmacists","291051","Computer and Information Sciences and Support Services","11",100823.0,19076.7,2192,1030.49,0.21225
2015,"Military officer special & tactical operations leaders","551010","Computer and Information Sciences and Support Services","11",86239.9,13848.1,2190,1236.19,2.21567
2015,"Purchasing managers","113061","Computer and Information Sciences and Support Services","11",100570.0,29075.5,2185,927.868,0.498412
2015,"Other financial clerks","433099","Computer and Information Sciences and Support Services","11",94291.9,31667.5,2178,940.189,1.00394
2015,"Sales engineers","419031","Computer and Information Sciences and Support Services","11",125817.0,9761.2,2170,1076.73,2.33468
2015,"Writers & authors","273043","Computer and Information Sciences and Support Services","11",52942.6,22604.8,2098,937.337,0.428488
2015,"Grounds maintenance workers","373010","Computer and Information Sciences and Support Services","11",17528.6,6450.01,2090,1096.03,0.896409
2015,"Electricians","472111","Computer and Information Sciences and Support Services","11",68913.7,33781.9,2028,905.942,1.08853
2015,"Production, planning, & expediting clerks","435061","Computer and Information Sciences and Support Services","11",39893.1,8187.42,1971,1210.21,0.498494
2015,"Radio & telecommunications equipment installers & repairers","492020","Computer and Information Sciences and Support Services","11",52075.1,10537.7,1929,835.244,2.25761
2015,"Information & record clerks, all other","434199","Computer and Information Sciences and Support Services","11",90740.4,29238.7,1887,947.533,1.73226
2015,"Logisticians","131081","Computer and Information Sciences and Support Services","11",78012.5,19654.4,1851,797.365,0.78811
2015,"Private detectives & investigators","339021","Computer and Information Sciences and Support Services","11",82188.6,20116.9,1838,885.421,1.01642
2015,"Diagnostic related technologists & technicians","292030","Computer and Information Sciences and Support Services","11",61723.8,17668.0,1816,865.021,0.460784
2015,"Dispatchers","435030","Computer and Information Sciences and Support Services","11",58494.1,18860.7,1811,1063.82,1.12171
2015,"Medical assistants","319092","Computer and Information Sciences and Support Services","11",35699.5,6736.23,1808,1009.12,0.849491
2015,"Athletes, coaches, umpires, & related workers","272020","Computer and Information Sciences and Support Services","11",44191.3,25186.3,1779,871.565,0.416995
2015,"Health practitioner support technologists & technicians","292050","Computer and Information Sciences and Support Services","11",29566.3,7019.21,1774,871.378,0.373809
2015,"Personal care aides","399021","Computer and Information Sciences and Support Services","11",19064.2,6741.96,1764,723.499,0.309855
2015,"Artists & related workers","271010","Computer and Information Sciences and Support Services","11",53646.0,12396.7,1758,746.975,0.61987
2015,"Credit counselors & loan officers","132070","Computer and Information Sciences and Support Services","11",74758.7,15206.5,1736,924.832,0.306665
2015,"Advertising sales agents","413011","Computer and Information Sciences and Support Services","11",102590.0,26249.5,1682,732.292,0.473893
